,Dataset,Classifier,Training accuracy,Validation accuracy,Classifier object
176,"['TFIDF', 'lemmatize', None, (2, 2)]",xgboost,0.6178834105148461,0.639632277834525,{'clf__n_estimators': 1000}
177,"['TFIDF', 'lemmatize', None, (2, 2)]",knn,0.6560882593298829,0.6584269662921348,{'clf__n_neighbors': 50}
178,"['TFIDF', 'lemmatize', None, (2, 2)]",nb,0.7469354399346227,0.765679264555669,"{'clf__alpha': 0, 'clf__fit_prior': True}"
179,"['TFIDF', 'lemmatize', None, (2, 2)]",svm,0.7352901116861891,0.7552604698672114,"{'clf__C': 10, 'clf__kernel': 'linear'}"
180,"['TFIDF', None, 'english', (1, 1)]",svm,0.7850040860800872,0.802247191011236,"{'clf__C': 1, 'clf__kernel': 'linear'}"
181,"['TFIDF', None, 'english', (1, 1)]",nb,0.8090438572596023,0.8128702757916241,"{'clf__alpha': 1, 'clf__fit_prior': False}"
182,"['TFIDF', None, 'english', (1, 1)]",xgboost,0.717992372650504,0.7297242083758938,{'clf__n_estimators': 1000}
183,"['TFIDF', None, 'english', (1, 1)]",knn,0.6977662762190139,0.6829417773237998,{'clf__n_neighbors': 100}
184,"['TFIDF', None, 'english', (1, 1)]",randomforests,0.7018523563061836,0.7137895812053116,{'clf__n_estimators': 1000}
185,"['TFIDF', None, 'english', (1, 1)]",logreg,0.7927676382457096,0.8034729315628192,"{'clf__C': 10, 'clf__penalty': 'l2'}"
186,"['TFIDF', None, 'english', (1, 2)]",svm,0.7967175156633071,0.8002042900919305,"{'clf__C': 1, 'clf__kernel': 'linear'}"
187,"['TFIDF', None, 'english', (1, 2)]",nb,0.8037319531462817,0.8236976506639428,"{'clf__alpha': 1, 'clf__fit_prior': False}"
188,"['TFIDF', None, 'english', (1, 2)]",xgboost,0.7141105965676927,0.7254341164453524,{'clf__n_estimators': 1000}
189,"['TFIDF', None, 'english', (1, 2)]",knn,0.6936801961318442,0.7029622063329929,{'clf__n_neighbors': 100}
190,"['TFIDF', None, 'english', (1, 2)]",randomforests,0.6976981748842277,0.7109295199182841,{'clf__n_estimators': 500}
191,"['TFIDF', None, 'english', (1, 2)]",logreg,0.8012803050939798,0.8136874361593462,"{'clf__C': 100, 'clf__penalty': 'l2'}"
192,"['TFIDF', None, 'english', (2, 2)]",svm,0.581653500408608,0.6073544433094995,"{'clf__C': 10, 'clf__kernel': 'linear'}"
193,"['TFIDF', None, 'english', (2, 2)]",nb,0.6000408608008717,0.6077630234933605,"{'clf__alpha': 1, 'clf__fit_prior': False}"
194,"['TFIDF', None, 'english', (2, 2)]",xgboost,0.4757559248161264,0.4860061287027579,{'clf__n_estimators': 1000}
195,"['TFIDF', None, 'english', (2, 2)]",knn,0.4035004086080087,0.4034729315628192,{'clf__n_neighbors': 100}
196,"['TFIDF', None, 'english', (2, 2)]",randomforests,0.4848134023426859,0.5007150153217569,{'clf__n_estimators': 1000}
197,"['TFIDF', None, 'english', (2, 2)]",logreg,0.5912557886134568,0.6040858018386108,"{'clf__C': 100, 'clf__penalty': 'l2'}"
198,"['TFIDF', None, None, (1, 1)]",svm,0.8097248706074639,0.8275791624106231,"{'clf__C': 1, 'clf__kernel': 'linear'}"
199,"['TFIDF', None, None, (1, 1)]",nb,0.8217107055298284,0.8298263534218591,"{'clf__alpha': 1, 'clf__fit_prior': False}"
200,"['TFIDF', None, None, (1, 1)]",xgboost,0.7481612639607736,0.7583248212461695,{'clf__n_estimators': 1000}
